tree_name,tree_source,taxon,taxon_rank,kingdom,original_tree_ID,time_unit,time_factor,Nextant,Nextant_reference,original_publication,original_publication_details,ntip_tree,rho
Diaz.A2016,Diaz2019,Viperidae,family,Metazoa,A2016.cr.pr,Myr,1,329,Diaz2019,Alencaretal2016,"Laura R.V. Alencar, Tiago B. Quental, Felipe G. Grazziotin, Michael L. Alfaro, Marcio Martins, Mericien Venzon, Hussam Zaher, Diversification in vipers: Phylogenetic relationships, time of divergence and shifts in speciation rates, Molecular Phylogenetics and Evolution, Volume 105, December 2016, Pages 50-62, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.07.029.",263,0.799392097
Diaz.A2017,Diaz2019,Costaceae,family,Viridiplantae,A2017.tr.pr,Myr,1,139,Diaz2019,Andreetal2017,"Thiago Andr_, Shayla Salzman, T_nia Wendt, Chelsea D. Specht, Speciation dynamics and biogeography of Neotropical spiral gingers (Costaceae), Molecular Phylogenetics and Evolution, Volume 103, October 2016, Pages 55-63, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.07.008.",75,0.539568345
Diaz.C2015,Diaz2019,Ovalentaria,order,Metazoa,C2015,Myr,1,352,Diaz2019,Campanellaetal2015,"Campanella, D., Hughes, L.C., Unmack, P.J., Bloom, D.D., Piller, K.R., and Orti, G. (2015)._Multi-locus fossil-calibrated phylogeny of Atheriniformes (Teleostei: Ovalentaria)._Molecular Phylogenetics and Evolution.",103,0.292613636
Diaz.C2017,Diaz2019,Coronellini,tribe,Metazoa,C2017.tr.cr.pr,Myr,1,88,Diaz2019,Chenetal2017,"Xin Chen, Alan R. Lemmon, Emily Moriarty Lemmon, R. Alexander Pyron, Frank T. Burbrink, Using phylogenomics to understand the link between biogeographic origins and regional diversification in ratsnakes, Molecular Phylogenetics and Evolution, Volume 111, June 2017, Pages 206-218, ISSN 1055-7903",70,0.795454545
Diaz.D2018.cr,Diaz2019,Dytiscidae,family,Metazoa,D2018.cr,Myr,1,4300,Miller and Bergsten (2016). Diving beetles of the world: Systematics and biology of the Dytiscidae. JHU Press,Desamoreetal2018,"D_samor_, Aur_lie; Laenen, Benjamin; Bergsten, Johannes; B. Miller, Kelly (2018): Phylogenetic Tree from the BEAST analysis of Dytiscidae. figshare. https://doi.org/10.17045/sthlmuni.5480962.v1",163,0.037906977
Diaz.F2017,Diaz2019,Cichlidae,family,Metazoa,F2017.tr.pr,Myr,1,1404,Diaz2019,Friedmanetal2017,NA,89,0.063390313
Diaz.G2011b,Diaz2019,Ceanothus,genus,Viridiplantae,G2011b.tr,Myr,1,64,Diaz2019,Goldbergetal2011,"Goldberg EE, Lancaster LT, Ree RH (2011) Phylogenetic inference of reciprocal effects between geographic range evolution and diversification. Systematic Biology 60(4): 451-465. https://doi.org/10.1093/sysbio/syr046",51,0.796875
Diaz.H2016,Diaz2019,Cracidae,family,Metazoa,H2016.tr.pr,Myr,1,50,Diaz2019,Hosneretal2016,"Peter A. Hosner, Edward L. Braun, Rebecca T. Kimball, Rapid and recent diversification of curassows, guans, and chachalacas (Galliformes: Cracidae) out of Mesoamerica: Phylogeny inferred from mitochondrial, intron, and ultraconserved element sequences, In Molecular Phylogenetics and Evolution, Volume 102, 2016, Pages 320-330, ISSN 1055-7903, https://doi.org/10.1016/j.ympev.2016.06.006.",47,0.94
Diaz.I2011,Diaz2019,Sebastes,genus,Metazoa,I2011,Myr,1,107,Diaz2019,Ingram2011,"Ingram, T. 2011. Speciation along a depth gradient in a marine adaptive radiation. Proc Roy Soc B: 278: 613-618. doi:10.1098/rspb.2010.1127",99,0.925233645
Diaz.I2016,Diaz2019,Anolis,genus,Metazoa,I2016.pr,Myr,1,415,Diaz2019,Ingrametal2016,"Travis Ingram, Alexis Harrison, D. Luke Mahler, Marêa del Rosario Casta_eda, Richard E. Glor, Anthony Herrel, Yoel E. Stuart, Jonathan B. Losos. 2016. Comparative tests of the role of dewlap size in Anolis lizard speciation. Proc. R. Soc. B 2016 283 20162199; DOI: 10.1098/rspb.2016.2199.",216,0.520481928
Diaz.IL2017,Diaz2019,Heliconia,genus,Viridiplantae,IL2017.tr.cr.pr,Myr,1,194,Diaz2019,Ilesetal2017,"William J.D. Iles, Chodon Sass, Laura Lagomarsino, Gracie Benson-Martin, Heather Driscoll, Chelsea D. Specht, The phylogeny of Heliconia (Heliconiaceae) and the evolution of floral presentation, Molecular Phylogenetics and Evolution, Volume 117, 2017,Pages 150-167, https://doi.org/10.1016/j.ympev.2016.12.001. (http://www.sciencedirect.com/science/article/pii/S1055790316303906)",169,0.871134021
