"","clade","grid_points"
"1","Viperidae",7
"2","Costaceae",5
"3","Ovalentaria",6
"4","Coronellini",5
"5","Dytiscidae",8
"6","Cichlidae",5
"7","Ceanothus",5
"8","Cracidae",5
"9","Sebastes",7
"10","Anolis",6
"11","Heliconia",6
"12","Corvides",8
"13","Pinidae",7
"14","Rhododendron",5
"15","Agama",5
"16","Odonata",7
"17","Balistidaea",4
"18","Monacanthidae",5
"19","Cephalotes",7
"20","Testudinata",7
"21","Lupinus",6
"22","Columbidae",5
"23","Trochilidae",7
"24","Temnothrorax",6
"25","Mormoopidae_Phyllostomidae",5
"26","Phymaturus",5
"27","Poaceae",11
"28","Galliformes",6
"29","Brassicaceae",7
"30","Primates",6
"31","Ballenidae",5
"32","Chiroptera",8
"33","Pectinidae",6
"34","Aedes",7
"35","Cetartiodactyla",6
"36","Rhinantheae",5
"37","Cetacea",5
"38","Bacteria",50
"39","Vascular Plants",14
"40","Solanaceae",7
"41","Birds",10
"42","Agaricomycetes",12
"43","Fish",16
"44","Ferns",10
"45","Chondrichthyans",10
"46","Amphibians",10
"47","Squamates",11
"48","Mammals",11
