"","clade","mup_0","eps_0"
"1","Squamates",-0.0806773319466338,0.551340038242321
"2","Squamates",0.0620150908311585,0.519068504021955
"3","Squamates",-0.0393982692446432,0.53401476249551
"4","Squamates",-0.0206965529957711,0.476559975646214
"5","Squamates",-0.0160780534538529,0.560747847177198
"6","Squamates",-0.0886289938101392,0.530204371610686
"7","Squamates",-0.0399131513909965,0.525691670907539
"8","Squamates",-0.046653677536679,0.55715251012727
"10","Squamates",-0.00465280212550448,0.589896803932404
"11","Squamates",-0.290414913046095,0.523000569042046
